nbeo,code
7742,605100
7744,632860
1280,624000
1281,624000
1282,604720
1283,626530
1284,624000
1285,624000
1286,624000
1287,624000
1288,604300
4950,624000
5577,604710
5578,604720
5579,605200
7671,604210
7672,604710
7673,604130
7652,604210
7653,631000
7654,628100
7674,624000
7675,624000
7726,632831
7727,659800
7728,618120
7729,624000
7730,632540B
7731,624000
7732,618120
7733,632540B
7734,632831
7745,626530
7743,604710
7746,604710
7747,618120
7748,618120
7749,626530
7750,618120
1251,605200
1252,604210
1289,624000
1290,624000
1291,632860
1292,624000
1293,632831
1294,618120
1295,624000
1296,624000
1297,624000
7692,618120
7693,604300
7694,624000
7695,618120
7696,604130
7697,668340
7662,624000
7663,605200
1253,624000
1254,624000
1255,659800
1256,659800
1257,624000
1258,624000
1259,604710
1260,624000
1261,604720
1298,624000
1299,604720
1300,668360
7751,659800
7752,604710
7753,632860
7754,604300
7755,626530
7756,624000
6355,624000
6356,604130
6357,624000
6358,624000
6359,624000
6360,632860
6361,604720
6451,604710
6452,659800
6453,604300
6454,605200
6455,604710
6460,668360
6461,659800
6462,605200
4147,659800
4088,618120
6362,624000
6363,659800
6364,604130
6365,604210
6366,604710
6367,663841
6368,624000
7698,663841
7699,668340
7700,663841
7701,624000
7702,624000
7703,624000
7704,604130
4118,604710
6874,605200
6651,632831
4121,624000
1262,604130
1263,624000
1264,624000
1265,624000
1266,624000
1267,604720
1268,624000
1269,624000
1270,624000
7757,604710
7758,604710
7759,624000
7760,618120
7761,632860
7762,668360
4076,659800
6075,604710
4077,624000
4078,604210
4079,632831
4080,632831
4122,604720
6652,659800
6653,604710
6654,604720
6655,659800
6656,604710
6657,605200
6658,604710
6659,605200
6369,605200
6370,659800
6371,604720
6372,604720
6373,604710
6374,624000
6375,624000
6376,624000
6377,624000
6378,604710
6379,659800
6381,604710
6382,604720
6463,604710
6464,659800
6466,659800
6467,604720
6468,631000
6469,618120
6470,604710
7616,618120
7617,618120
7618,618120
7619,604210
7705,624000
7706,663841
7707,604130
7708,604130
1271,624000
1272,618120
1273,663841
1274,604710
1275,632831
1276,632831
1277,663841
1278,624000
1279,604720
6383,604130
6384,632860
6385,624000
6386,604720
6387,604130
6388,624000
6389,604720
6390,618120
4124,624000
4125,604130
4126,618120
4127,618120
4128,618120
4129,631000
4136,618120
6471,604720
6472,624000
6473,668360
6474,604710
6475,604210
6476,632831
6477,624000
6478,618120
6660,624000
6661,624000
6662,604710
6663,624000
6664,659800
6665,604720
6666,626530
6667,632860
6479,668360
6480,628100
6481,659800
6482,659800
6483,604710
6484,604130
6485,618120
6486,604710
6391,604710
6392,624000
6393,605200
6394,604720
6395,659800
6396,604300
6397,624000
7709,659800
7710,659800
7711,618120
7712,604130
7713,624000
7714,624000
7621,604720
7625,618120
7627,618120
7622,632831
7623,632831
7626,605200
7629,624000
6398,604710
6399,624000
6400,624000
3101,663841
3102,632831
3103,632831
3104,604300
3105,624000
3106,624000
3107,605200
3108,604300
3109,624000
3110,659800
3111,604710
3112,624000
3113,604710
3114,668360
3115,659800
3116,632831
3117,632831
3118,618120
3119,632831
3120,631000
4138,604210
4139,618120
4140,604710
4141,605200
4142,618120
4143,624000
4144,618120
4137,618120
3340,624000
4075,632831
6668,624000
6669,661272
6670,632831
6671,632831
6672,624000
6673,618120
6674,618120
6675,631000
4145,618120
4146,618120
7624,632831
7628,668340
7630,618120
7631,604210
7632,624000
7633,622210
7634,604130
7715,624000
7784,604130
4148,618120
4149,604710
4150,618120
6251,604210
3270,668360
6676,618120
6677,624000
6678,624000
6679,659800
6680,618120
6681,618120
6683,604710
6684,632831
6252,668360
6253,624000
6254,632831
6255,659800
6256,618120
6257,622210
6258,624000
3121,618120
3122,632831
3123,668360
3124,632540B
3125,618120
3126,604720
3127,618120
6487,659800
6076,604210
6488,659800
6489,626530
6490,604720
6491,618120
6492,605100
6493,618120
7635,628100
7636,628100
7637,624000
7638,628100
7639,628100
7716,624000
6685,632831
6686,659800
6687,618120
6688,663841
6689,659800
6690,618120
6691,628100
6692,626530
6494,624000
6401,659800
6259,624000
6260,604130
6261,661257
6262,624000
6263,659800
6264,628100
6265,628100
6693,663841
6694,618120
6695,604130
6696,618120
6697,632840
4201,618120
7785,628100
7787,604210
7788,661272
7789,659800
1421,632831
7763,604710
7764,604210
7766,661257
7767,605200
7768,618120
7769,663841
7770,632840
7771,663841
7772,659800
7773,626530
7774,668340
7775,605200
7776,618120
7777,663841
7778,668340
7779,618120
7780,605200
7781,659800
3138,638410
3139,604720
3140,604720
3141,604720
3142,632831
3143,659800
3144,668360
3146,604210
3147,624000
3148,618120
3150,659800
6101,618120
6102,632831
6103,668340
1401,624000
1402,604210
6104,668340
3128,659800
3129,624000
3130,604720
3131,663841
3132,624000
3135,604710
3136,604710
3137,604130
6403,618120
6404,624000
6406,628100
6408,659800
6409,628100
6105,632831
4101,668360
4102,618120
4103,632831
4104,618120
4105,668360
4107,659800
4108,663841
4109,618120
6266,628100
6267,624000
6268,659800
6269,628100
6271,624000
6272,604130
4110,624000
4111,604710
4112,628100
4113,604710
4114,604710
4115,659800
4116,604130
4117,604710
4119,632831
4120,632831
6106,618120
6107,605200
6273,604130
6274,604130
6275,618120
6276,604130
6277,624000
6278,624000
6279,632860
1403,618120
1404,618120
1405,632860
1406,604720
1407,618120
1408,632831
1409,618120
1410,632831
1411,604210
1412,668360
1413,618120
1414,632540B
1415,618120
1416,624000
1417,668340
1418,604210
1419,618120
1420,661273
1422,618120
1423,604210
3235,628100
6410,628100
6411,628100
6412,628100
6413,622210
6414,604130
6415,618120
6416,604720
6417,618120
6280,638410
6282,618120
6287,622210
4202,604210
1424,618120
1425,618120
1426,604210
1427,624000
1428,668360
6289,618120
6290,624000
6293,618120
6294,604130
6295,624000
6296,605200
1429,618120
1430,668340
1431,628100
1432,668360
1433,661272
1434,632831
1435,632831
1436,632831
1437,618120
1438,631000
1439,624000
1440,618120
1441,618120
1442,618120
1443,632831
1444,618120
1445,624000
1446,622210
1447,628100
1448,632831
1450,604130
1451,604130
1452,604130
6698,604210
6699,659800
6700,661257
1453,604130
1454,632831
1455,604130
1456,631000
1457,624000
1458,628100
1460,604130
1461,628100
1462,618120
1463,618120
1464,624000
1465,604720
1466,632831
1467,663841
1468,604130
1470,632831
1472,632831
1473,659800
1474,632831
6297,604720
6298,659800
6299,604210
6301,624000
6302,604710
6304,628100
6306,624000
1477,618120
1480,624000
1481,659800
1482,624000
1478,668340
1483,668340
1484,632831
1485,668340
1486,668340
1487,668360
1488,668340
1489,668360
1564,624000
1565,659800
1566,668360
1567,668360
1568,604720
1569,659800
6307,604130
6308,663841
6309,659800
6312,631000
6313,659800
6314,632860
1490,632831
1491,604130
1492,604130
1493,632831
1494,668340
1495,604710
4203,624000
3236,626530
1496,663841
1497,661257
1498,663841
1499,628100
1500,632831
1539,604710
1570,628100
1501,663841
1502,604720
1503,624000
1504,605200
1505,624000
1506,624000
1507,604710
1508,624000
1509,624000
1510,618120
1511,663841
1512,624000
7586,624000
1515,659800
1516,624000
7587,624000
6315,604210
6316,628100
6317,618120
6318,632831
6319,632831
6320,659800
6321,663841
1518,624000
7585,604210
7588,624000
1521,624000
7584,624000
7590,624000
3237,628100
6147,632860
6108,663841
6019,632540B
6110,618120
6322,668360
6323,659800
6324,632831
6325,668360
6326,618120
6327,605100
6329,638410
1524,604720
1525,604720
1526,624000
1527,624000
1528,604710
1529,659800
1530,624000
1531,663841
1532,624000
1533,624000
1534,604130
1535,624000
7591,604300
1537,624000
6330,618120
6331,624000
6332,624000
6334,632831
6335,659800
6336,668340
1538,624000
1540,624000
1541,624000
1542,624000
1543,624000
1544,659800
1545,604710
1546,624000
1547,624000
1548,624000
7592,632831
1550,632860
1513,632831
1551,632831
1552,632831
1553,632831
1554,632831
1560,632831
1561,632831
1555,604720
1556,624000
1557,624000
1559,624000
1562,624000
4204,624000
4205,618120
4207,618120
4208,632860
4209,618120
4210,668360
6337,632831
6338,604710
6339,624000
6340,604720
6341,604720
6342,624000
6344,604720
1563,624000
6345,659800
6346,624000
6347,604130
6348,604720
6349,604130
6350,624000
6201,659800
6202,604710
1558,624000
1573,663841
1574,624000
1575,624000
4211,632831
4212,668340
4213,668340
4214,668340
4215,618120
4216,624000
4217,632831
4218,632831
4219,632831
42221,624000
4222,632831
4223,632831
4224,632831
4225,618120
4226,624000
4227,624000
6203,624000
6204,632860
6205,604300
6206,632860
6207,632831
6208,604710
6209,604300
1576,624000
1577,618120
1578,624000
1579,624000
1580,624000
1581,618120
1584,624000
1586,605100
1587,624000
1588,624000
1589,624000
1590,624000
1593,624000
1594,624000
4228,618120
4229,663841
4585,618120
4230,618120
1595,663841
1596,618120
1597,604710
4231,631000
4232,659800
4233,618120
4234,624000
4235,618120
4236,624000
3266,624000
6211,659800
6212,626530
6213,618120
6214,618120
6215,618120
6216,632831
6217,632831
6218,624000
1598,604210
1599,632831
1600,618120
1601,604710
